"Ch" "OD" "V"
1 0.377 0.521
2 0.377 1.013
3 0.377 1.44157142857143
4 0.377 1.06985714285714
1 0.197 0.417
2 0.197 0.766285714285714
3 0.197 0.965714285714286
4 0.197 0.676857142857143
1 0.072 0.230714285714286
2 0.072 0.590714285714286
3 0.072 0.592714285714286
4 0.072 0.466571428571429
1 0.027 0.176142857142857
2 0.027 0.473285714285714
3 0.027 0.462857142857143
4 0.027 0.329857142857143
1 0.017 0.177714285714286
2 0.017 0.476428571428571
3 0.017 0.674285714285714
4 0.017 0.470857142857143
