Carril	Tiempo	Medicion	Conteo
C1	56	0.008	47
C1	56	0.004	47
C1	56	0.005	47
C2	56	0.011	65
C2	56	0.005	65
C2	56	0.006	65
C1	126	0.016	84
C1	126	0.011	84
C1	126	0.007	84
C2	126	0.007	131
C2	126	0.009	131
C2	126	0.002	131
C1	176	-0.004	109
C1	176	0.002	109
C1	176	0.001	109
C2	176	0.001	160
C2	176	0.004	160
C2	176	0.002	160
C1	266	0.013	175
C1	266	0.023	175
C1	266	0.007	175
C2	266	0.021	275
C2	266	0.016	275
C2	266	0.015	275
