"Azucar" "means" "std"
"Glucosa" 115.262715741719 9.65675856547107
"Galactosa" 127.97841697981 6.59970007897449
"Glucosa" 90.9477462233967 6.86716858454065
"Galactosa" 121.808121439019 20.7890009928321
"Glucosa" 93.5818869371163 2.38567138245001
"Galactosa" 112.483463385862 16.5619578818887
"Glucosa" 102.242000388961 2.65511679550266
"Galactosa" 108.839087819223 14.6846510854883
"Glucosa" 102.016205068994 16.575176394828
"Galactosa" 106.523797584273 11.5716071735848
"Glucosa" 96.3634 6.39240086541825
"Galactosa" 107.93662234037 9.94015039604324
