"Azucar" "means" "std"
"Glucosa" 145.206914970073 5.28006322425466
"Galactosa" 147.031066194365 10.2141376275416
"Glucosa" 129.76100517444 2.90165638394269
"Galactosa" 152.7151169288 26.962280302577
"Glucosa" 127.454000117922 9.48543617089702
"Galactosa" 144.163392320353 27.0924482370744
"Glucosa" 128.773676165326 8.45050038096767
"Galactosa" 158.457524409916 34.8123903752963
"Glucosa" 134.178146813418 13.452602548875
"Galactosa" 156.374379886706 29.351952619749
"Glucosa" 130.1108460144 23.4097833621085
"Galactosa" 127.754964299434 20.7835763684491
