1.000	0.334	0.796	0.946	0.760
2.000	0.333	0.793	0.948	0.767
3.000	0.331	0.801	0.951	0.786
4.000	0.333	0.796	0.945	0.783
5.000	0.335	0.800	0.951	0.786
6.000	0.336	0.792	0.944	0.777
7.000	0.333	0.798	0.934	0.782
8.000	0.335	0.798	0.975	0.794
9.000	0.337	0.802	0.958	0.793
10.000	0.336	0.800	0.977	0.792
11.000	0.336	0.798	0.950	0.788
12.000	0.336	0.800	0.966	0.803
13.000	0.337	0.798	0.974	0.797
14.000	0.336	0.807	1.015	0.803
15.000	0.337	0.806	0.988	0.805
16.000	0.337	0.808	0.988	0.809
17.000	0.338	0.807	0.991	0.825
18.000	0.338	0.814	0.979	0.814
19.000	0.339	0.812	0.975	0.818
20.000	0.340	0.816	0.990	0.826
21.000	0.342	0.814	0.992	0.821
22.000	0.339	0.817	0.994	0.831
23.000	0.339	0.821	1.002	0.829
24.000	0.346	0.823	0.998	0.828
25.000	0.341	0.821	1.005	0.833
26.000	0.345	0.821	1.008	0.835
27.000	0.341	0.825	1.002	0.838
28.000	0.345	0.828	1.023	0.846
29.000	0.348	0.834	1.030	0.854
30.000	0.348	0.832	1.028	0.845
31.000	0.346	0.828	1.019	0.843
32.000	0.350	0.836	1.040	0.850
33.000	0.350	0.830	1.033	0.848
34.000	0.354	0.831	1.047	0.857
35.000	0.351	0.832	1.034	0.859
36.000	0.351	0.837	1.044	0.865
37.000	0.350	0.835	1.041	0.869
38.000	0.358	0.844	1.046	0.875
39.000	0.355	0.843	1.062	0.881
40.000	0.356	0.853	1.070	0.883
41.000	0.360	0.848	1.106	0.877
42.000	0.363	0.853	1.069	0.888
43.000	0.356	0.857	1.082	0.888
44.000	0.364	0.856	1.078	0.884
45.000	0.362	0.854	1.075	0.896
46.000	0.365	0.862	1.080	0.895
47.000	0.367	0.867	1.100	0.907
48.000	0.370	0.865	1.085	0.898
49.000	0.368	0.863	1.101	0.911
50.000	0.366	0.869	1.101	0.916
51.000	0.372	0.870	1.096	0.903
52.000	0.373	0.878	1.112	0.918
53.000	0.372	0.876	1.127	0.923
54.000	0.376	0.873	1.125	0.919
55.000	0.377	0.879	1.121	0.928
56.000	0.378	0.875	1.115	0.918
57.000	0.375	0.883	1.139	0.927
58.000	0.380	0.890	1.138	0.940
59.000	0.379	0.894	1.145	0.929
60.000	0.383	0.887	1.152	0.939
61.000	0.381	0.900	1.151	0.943
62.000	0.384	0.902	1.149	0.945
63.000	0.382	0.901	1.153	0.954
64.000	0.385	0.902	1.151	0.953
65.000	0.386	0.912	1.159	0.948
66.000	0.389	0.909	1.175	0.959
67.000	0.389	0.906	1.162	0.960
68.000	0.393	0.911	1.173	0.959
69.000	0.389	0.916	1.181	0.966
70.000	0.394	0.914	1.191	0.966
71.000	0.394	0.914	1.177	0.975
72.000	0.392	0.918	1.176	0.980
73.000	0.394	0.923	1.195	0.980
74.000	0.400	0.928	1.197	0.987
75.000	0.402	0.936	1.195	0.988
76.000	0.405	0.934	1.211	0.987
77.000	0.408	0.937	1.221	0.997
78.000	0.406	0.945	1.219	0.988
79.000	0.408	0.947	1.203	1.000
80.000	0.410	0.952	1.218	0.997
81.000	0.408	0.952	1.228	1.007
82.000	0.411	0.947	1.244	1.003
83.000	0.414	0.955	1.236	1.010
84.000	0.412	0.960	0.891	1.017
85.000	0.419	0.962	0.880	1.022
86.000	0.417	0.961	0.906	1.030
87.000	0.419	0.967	0.912	1.023
88.000	0.420	0.979	0.908	1.034
89.000	0.423	0.975	0.894	1.030
90.000	0.426	0.980	0.911	1.045
91.000	0.425	0.974	0.901	1.040
92.000	0.426	0.979	0.904	1.048
93.000	0.426	0.984	0.911	1.060
94.000	0.428	0.986	0.913	1.060
95.000	0.430	0.992	0.924	1.060
96.000	0.430	0.994	0.919	1.067
97.000	0.431	0.992	0.909	1.072
98.000	0.431	1.003	0.933	1.074
99.000	0.432	0.998	0.943	1.079
100.000	0.434	1.008	0.935	1.078
101.000	0.435	1.012	0.942	1.086
102.000	0.437	1.013	0.939	1.088
103.000	0.439	1.028	0.959	1.090
104.000	0.438	1.038	0.960	1.110
105.000	0.441	1.036	0.958	1.114
106.000	0.442	1.039	0.969	1.110
107.000	0.447	1.031	0.968	1.113
108.000	0.449	1.040	0.968	1.131
109.000	0.457	1.046	0.972	1.124
110.000	0.454	1.044	0.992	1.124
111.000	0.458	1.070	0.979	1.150
112.000	0.460	1.062	0.988	1.147
113.000	0.460	1.066	0.989	1.152
114.000	0.463	1.062	0.985	1.159
115.000	0.460	1.066	0.977	1.160
116.000	0.464	1.073	0.982	1.158
117.000	0.470	1.071	0.992	0.657
118.000	0.472	1.079	1.000	0.664
119.000	0.471	1.077	1.014	0.662
120.000	0.472	1.085	1.000	0.668
121.000	0.471	1.084	1.017	0.665
122.000	0.476	1.092	1.017	0.675
123.000	0.472	1.089	1.013	0.670
124.000	0.476	1.093	1.022	0.676
125.000	0.480	1.105	1.019	0.682
126.000	0.482	1.109	1.034	0.671
127.000	0.488	1.111	1.034	0.683
128.000	0.487	1.115	1.043	0.680
129.000	0.492	1.123	1.031	0.684
130.000	0.491	1.115	1.033	0.681
131.000	0.495	1.128	1.054	0.689
132.000	0.494	1.126	1.058	0.688
133.000	0.491	1.125	1.047	0.689
134.000	0.499	1.133	1.072	0.704
135.000	0.502	1.136	1.058	0.703
136.000	0.502	1.133	1.079	0.703
137.000	0.502	1.147	1.074	0.706
138.000	0.509	1.152	1.076	0.708
139.000	0.509	1.152	1.089	0.708
140.000	0.511	1.164	1.090	0.710
141.000	0.510	1.160	1.086	0.717
142.000	0.512	1.179	1.082	0.718
143.000	0.516	1.185	1.090	0.721
144.000	0.516	1.176	1.118	0.726
145.000	0.520	1.171	1.092	0.729
146.000	0.523	1.179	1.115	0.730
147.000	0.530	0.784	1.124	0.749
148.000	0.526	0.783	1.111	0.740
149.000	0.530	0.789	1.115	0.748
150.000	0.535	0.795	1.122	0.748
151.000	0.534	0.793	1.161	0.752
152.000	0.533	0.786	1.150	0.749
153.000	0.540	0.794	1.143	0.760
154.000	0.544	0.793	1.144	0.757
155.000	0.544	0.795	1.173	0.758
156.000	0.546	0.799	1.165	0.763
157.000	0.547	0.799	1.162	0.762
158.000	0.550	0.804	1.169	0.766
159.000	0.554	0.806	1.179	0.772
160.000	0.555	0.819	1.170	0.774
161.000	0.559	0.806	1.188	0.776
162.000	0.562	0.820	1.199	0.783
163.000	0.568	0.816	1.195	0.793
164.000	0.569	0.821	1.190	0.787
165.000	0.573	0.825	1.212	0.793
166.000	0.574	0.821	1.197	0.795
167.000	0.576	0.831	1.209	0.796
168.000	0.579	0.827	1.222	0.800
169.000	0.583	0.836	1.237	0.805
170.000	0.591	0.833	1.227	0.804
171.000	0.583	0.838	1.246	0.813
172.000	0.592	0.838	1.241	0.821
173.000	0.592	0.844	1.250	0.822
174.000	0.294	0.866	1.247	0.835
175.000	0.297	0.868	1.273	0.825
176.000	0.299	0.857	1.295	0.826
177.000	0.298	0.878	1.006	0.837
178.000	0.301	0.878	1.004	0.839
179.000	0.300	0.877	1.031	0.839
180.000	0.301	0.879	1.028	0.846
181.000	0.300	0.881	1.027	0.846
182.000	0.302	0.887	1.034	0.849
183.000	0.301	0.897	1.032	0.845
184.000	0.302	0.890	1.045	0.856
185.000	0.306	0.898	1.041	0.860
186.000	0.307	0.899	1.043	0.864
187.000	0.306	0.904	1.045	0.870
188.000	0.305	0.904	1.059	0.869
189.000	0.307	0.910	1.055	0.870
190.000	0.308	0.917	1.065	0.883
