"Azucar" "means"
"Glu" 131.57887693575
"Gal" 147.298048097118
"Glu" 146.332109935026
"Gal" 144.085370569061
"Glu" 147.655979036424
"Gal" 143.776490770638
"Glu" 165.983715066495
"Gal" 137.486125367592
"Glu" 139.435240865627
"Gal" 142.366915372038
"Glu" 141.426878530654
"Gal" 140.786833624642
"Glu" 115.267502400981
"Gal" 130.464018993643
