"Azucar" "means" "std"
"Glucosa" 136.455328099855 11.985831294026
"Galactosa" 135.539527736136 10.9378825135523
"Glucosa" 119.59980832597 4.00509054921929
"Galactosa" 134.057615830864 17.6008206050906
"Glucosa" 114.229476620797 5.6380936722517
"Galactosa" 134.664275690337 14.589954827787
"Glucosa" 133.135173152202 6.43215171647871
"Galactosa" 140.202657390108 13.5139825861379
"Glucosa" 128.818601063342 3.27973961970735
"Galactosa" 142.370627661948 13.9833021980272
"Glucosa" 120.845760591842 7.83166402493273
"Galactosa" 134.790206023741 15.9550971893122
