1.000	0.713	0.815	0.638	1.141
2.000	0.718	0.820	0.639	1.158
3.000	0.715	0.821	0.648	1.161
4.000	0.716	0.820	0.643	1.155
5.000	0.715	0.826	0.649	1.157
6.000	0.714	0.828	0.656	1.147
7.000	0.724	0.830	0.651	1.167
8.000	0.715	0.833	0.653	1.159
9.000	0.720	0.840	0.666	1.183
10.000	0.712	0.845	0.671	0.757
11.000	0.710	0.844	0.673	0.745
12.000	0.711	0.849	0.669	0.735
13.000	0.712	0.850	0.669	0.741
14.000	0.716	0.859	0.673	0.741
15.000	0.712	0.863	0.674	0.751
16.000	0.715	0.861	0.683	0.750
17.000	0.713	0.862	0.679	0.748
18.000	0.712	0.876	0.693	0.763
19.000	0.715	0.876	0.688	0.756
20.000	0.712	0.877	0.701	0.763
21.000	0.715	0.884	0.697	0.763
22.000	0.714	0.886	0.689	0.771
23.000	0.712	0.885	0.703	0.770
24.000	0.710	0.885	0.698	0.766
25.000	0.713	0.887	0.705	0.778
26.000	0.715	0.894	0.704	0.762
27.000	0.713	0.904	0.718	0.774
28.000	0.716	0.902	0.709	0.779
29.000	0.715	0.908	0.714	0.779
30.000	0.715	0.914	0.714	0.786
31.000	0.715	0.914	0.715	0.779
32.000	0.712	0.917	0.714	0.792
33.000	0.714	0.923	0.729	0.801
34.000	0.714	0.928	0.735	0.795
35.000	0.715	0.930	0.729	0.802
36.000	0.713	0.928	0.733	0.807
37.000	0.713	0.931	0.727	0.797
38.000	0.711	0.949	0.747	0.811
39.000	0.712	0.947	0.741	0.804
40.000	0.712	0.952	0.746	0.813
41.000	0.711	0.949	0.745	0.808
42.000	0.713	0.955	0.752	0.825
43.000	0.715	0.961	0.761	0.827
44.000	0.713	0.967	0.759	0.826
45.000	0.713	0.969	0.753	0.819
46.000	0.714	0.971	0.763	0.819
47.000	0.714	0.975	0.759	0.827
48.000	0.713	0.976	0.776	0.826
49.000	0.709	0.990	0.795	0.836
50.000	0.712	0.995	0.777	0.835
51.000	0.712	0.992	0.782	0.832
52.000	0.710	0.995	0.779	0.832
53.000	0.701	0.699	0.796	0.904
54.000	0.702	0.696	0.787	0.903
55.000	0.701	0.695	0.805	0.892
56.000	0.707	0.707	0.823	0.918
57.000	0.702	0.707	0.811	0.917
58.000	0.702	0.706	0.809	0.903
59.000	0.703	0.710	0.825	0.915
60.000	0.698	0.711	0.814	0.918
61.000	0.704	0.714	0.814	0.918
62.000	0.703	0.717	0.823	0.926
63.000	0.701	0.719	0.826	0.927
64.000	0.701	0.718	0.831	0.936
65.000	0.704	0.717	0.838	0.939
66.000	0.704	0.724	0.836	0.934
67.000	0.703	0.729	0.834	0.954
68.000	0.703	0.730	0.842	0.947
69.000	0.704	0.728	0.841	0.946
70.000	0.705	0.738	0.850	0.966
71.000	0.702	0.740	0.851	0.956
72.000	0.698	0.741	0.858	0.963
73.000	0.704	0.751	0.866	0.976
74.000	0.701	0.750	0.863	0.970
75.000	0.706	0.754	0.868	0.982
76.000	0.707	0.755	0.880	0.987
77.000	0.699	0.752	0.868	0.982
78.000	0.703	0.762	0.884	1.013
79.000	0.701	0.762	0.880	0.991
80.000	0.703	0.758	0.882	0.982
81.000	0.699	0.764	0.900	0.996
82.000	0.702	0.761	0.882	0.990
83.000	0.703	0.770	0.889	1.003
