"Azucar" "means" "std"
"Galactosa" 141.776171334789 8.2976465359609
"Glucosa" 149.247580318678 NA
"Galactosa" 113.098244432849 NA
"Glucosa" 112.535980613917 NA
"Galactosa" 113.473388832137 6.76327452458361
"Glucosa" 108.110932878418 NA
"Galactosa" 119.72663153466 12.0106752569671
"Glucosa" 114.843388577324 NA
"Galactosa" 112.966152717519 4.75906313816497
"Glucosa" 113.446649983221 NA
"Galactosa" 125.181852869349 17.8424769932565
"Glucosa" 120.046836276225 NA
"Galactosa" 118.550825335952 8.93486838804908
"Glucosa" 108.649292184785 NA
"Galactosa" 120.898156902564 12.8760222869294
"Glucosa" 111.378915054442 12.7180580471113
"Galactosa" 116.243525639332 4.85308805391154
"Glucosa" 130.170780774297 30.325365338798
"Galactosa" 114.567750437473 5.00307047546761
"Glucosa" 124.96419997349 13.6551781389104
"Galactosa" 108.409919140509 9.3571195402479
"Glucosa" 119.992973993912 2.34469912489106
"Galactosa" 122.621841153093 2.76484060600405
"Glucosa" 148.988159049903 NA
